key,value
twitter.com,248.22.49.14
ravivermaclinic.com,226.58.2.32
instagram.com,28.50.240.12
rajaboy.com,33.54.209.190
viratvihar.com,246.106.121.150
setthegoal.com,231.110.184.96
vvjayavihar.com,43.151.112.117
zomato.com,229.177.154.82
swiggy.com,218.158.176.41
foodora.com,1.250.156.125
nwscc.edu,166.0.152.176
it.jobs.amazon.com,243.65.34.76
trips.amazon.com,123.43.56.75
oakwood.edu,109.150.187.8
samford.edu,151.211.34.184
sebc.edu,162.150.184.177
southalabama.edu,253.159.207.145
trenholmstate.edu,26.178.20.139
troy.edu,60.182.75.183
tuskegee.edu,58.25.230.56
ua.edu,95.204.174.178
uab.edu,117.189.24.32
arcticportal.org,48.168.96.16
scar.org,119.166.37.226
scor-int.org,58.128.116.240
icsu-fags.org,201.188.94.211
geodesieird.org,170.133.90.179
igscbjpl.nasa.org,76.67.152.94
ngdcnoaa.org,78.48.129.81
ngdcnoaa.org,4.166.28.13
sclilp.gfz-potsdam.org,103.133.86.172
znywuzjekj.net,97.140.54.32
ulqcwongxx.net,34.146.64.249
xushrcarrt.net,165.57.177.204
dfzlzhyohn.net,132.209.184.6
rzwpxluisi.net,240.158.133.162
jfqemdqjed.net,63.105.110.150
tcgesdyuvu.net,155.56.100.169
ugwqtkbxgm.net,96.89.153.136
sxirrbymeb.net,228.3.248.62
nmyubtosuo.net,9.65.205.26
mdodthhvpk.in,14.149.162.103
ytjgzymnwn.in,181.139.225.149
hsootkuohe.in,94.20.9.202
abxmlcddop.in,11.102.173.193
zpnzohahth.in,48.80.16.202
mfzwrjsczl.in,249.151.43.133
yvfyervdju.in,80.182.139.50
xrsyvhfqql.in,177.155.54.49
mfqbrnjrnx.in,45.96.147.152
rjlcxmqwpo.in,179.74.82.95
onlinesbi.com,103.68.221.190
