key,value
siemens.com,23.241.59.139
adobe.com,153.208.101.175
amd.com,201.145.126.143
cgi.com,224.109.203.96
capgemini.com,194.151.77.214
cognizant.com,56.247.212.52
alu.cs.jobs.amazon.com,134.67.87.34
rajithshetty.com,223.87.70.74
whatalife.com,217.62.14.125
makemytrip.com,117.118.202.230
plusplus.com,10.82.205.76
bsc.edu,18.135.96.75
calhoun.edu,156.167.149.113
escc.edu,10.85.155.8
faulknerstate.edu,202.122.184.185
gadsdenstate.edu,70.10.165.12
huntingdon.edu,29.172.51.35
jsu.edu,255.35.13.73
lbwcc.edu,226.46.244.1
montevallo.edu,177.166.217.89
nacc.edu,79.130.102.56
iag-aig.org,212.73.61.104
comunidadandina.org,214.211.92.161
iugs.org,219.178.171.178
fig.org,85.150.32.177
ien.org,3.64.147.26
abdnac.org,13.76.52.183
iho-ohi.org,186.42.255.104
ngdcnoaa.org,236.78.236.182
gmatuns.org,142.214.243.177
isprs.org,182.119.157.169
tqebwgbiek.net,229.95.102.25
ejzwowfuiu.net,42.2.244.210
absulxrosr.net,194.175.168.27
lvylblulrd.net,71.94.137.95
pwvccwjhpz.net,40.80.37.91
xygmuqlmpr.net,66.234.154.91
giuoaelgga.net,213.20.205.127
gnmkkqoshl.net,156.147.248.22
faojquyxha.net,78.6.46.15
sjzoyoizil.net,63.195.113.218
mtqbdzdcuv.in,179.127.226.138
ydwzvcypnq.in,103.28.238.15
lrefwgacoj.in,65.234.241.43
knvklaooby.in,190.167.199.48
huxziyypge.in,110.63.137.34
xnltsykjhq.in,60.172.13.216
kdlfpcqtmy.in,73.217.40.54
rxzosmudji.in,158.35.69.214
sggqvoexhw.in,76.161.63.54
tvtwrpxytj.in,113.200.251.70
