key,value
ubereats.com,126.158.63.75
doordash.com,53.206.170.149
intenshala.com,255.105.115.104
rakthacharitra.com,30.67.195.169
jaisimha.com,142.238.80.223
akhanda.com,164.51.62.105
taggedhele.com,231.3.149.155
caviar.com,211.251.231.33
ssd.hw.jobs.amazon.com,154.87.90.23
snapfinger.com,239.180.171.182
faasos.com,176.144.139.25
uah.edu,159.95.143.106
una.edu,210.87.218.113
snead.edu,20.200.182.179
anc.edu,216.231.134.60
astate.edu,114.142.193.125
atu.edu,137.225.78.71
cbc.edu,76.49.123.110
harding.edu,60.206.217.242
hendrix.edu,230.214.189.44
hsu.edu,118.190.205.89
sopac.org,154.150.187.144
bsh.org,224.23.246.58
bgrbund.org,186.185.209.128
continentalshelf.org,36.129.132.252
aii.org,115.203.95.219
ifremer.org,229.56.247.100
jamstecgo.org,204.210.128.180
catsu-strasbg.org,37.23.146.25
marine-geo.org,0.210.151.210
ngdcnoaa.org,172.168.79.18
cvqjkzjkrg.net,8.196.77.203
zdcfkftzsl.net,150.181.237.46
hdqjbyoiwg.net,15.214.143.35
ikddszgbqf.net,47.4.29.108
ksosxifmke.net,196.245.217.200
oryvvqcbej.net,118.3.185.59
iwiiidemnh.net,148.228.248.76
nadjcebtzn.net,157.75.174.255
uqbnnscdmp.net,52.226.168.122
iusruqtjgd.net,249.210.116.160
oldlnozejf.in,217.184.156.143
vdadweqlwf.in,127.137.228.42
jgngzqmnyb.in,213.178.82.248
zzajrahmur.in,9.178.29.89
lyvhnwrqgv.in,11.60.255.174
wjljjbodth.in,187.127.169.115
uvivcriooh.in,112.92.219.128
ajrmgxbqyr.in,205.231.76.13
vazqbqpojw.in,185.35.54.9
eosmsrkxgx.in,38.226.208.164
