1,1.0,0.006999999999999999,1.0,0.0
1,1.0,0.015,1.0,0.0
1,1.5,0.02,1.0,0.0
1,2.0,0.024,0.0,1.0
1,2.0,0.029,0.0,1.0
1,2.0,0.025,0.0,1.0
1,2.0,0.007,0.0,1.0
1,2.0,0.011,0.0,1.0
1,2.0,0.006,0.0,1.0
1,2.0,0.016,0.0,1.0
1,1.0,0.022,0.0,1.0
1,2.0,0.016,0.0,1.0
1,2.0,0.037,0.0,1.0
1,2.0,0.006,0.0,1.0
1,2.0,0.009,0.0,1.0
1,2.0,0.013,0.0,1.0
1,2.0,0.0,0.0,1.0
1,2.0,0.007,0.0,1.0
1,2.0,0.015,0.0,1.0
1,2.0,0.001,0.0,1.0
1,1.0,0.001,0.0,1.0
1,1.0,0.02,0.0,1.0
1,2.0,0.014,0.0,1.0
1,1.0,0.004,0.0,1.0
1,2.0,0.004,0.0,1.0
1,2.0,0.006,0.0,1.0
1,1.0,0.006,0.0,1.0
1,1.0,0.003,0.0,1.0
1,2.0,0.003,0.0,1.0
1,0.0,0.0,0.0,1.0
