key,value
bankofamerica.com,171.159.118.100
facebook.com,157.240.3.35?21.200.238.34?21.200.238.35?21.200.238.36
amazon.com,139.140.51.129?139.140.51.130?139.140.51.131
cs.jobs.amazon.com,139.140.51.132
cpu.cs.jobs.amazon.com,222.32.123.78
hw.cs.jobs.amazon.com,45.56.09.32
jobs.amazon.com,198.23.33.45
products.amazon.com,123.45.56
cricbuzz.com,35.200.167.142
hotstar.com,243.75.3.144
primevideo.com,131.15.178.74
wellsfargo.com, 159.45.170.143
citi.com,192.193.218.80?192.193.102.176
playstation.com,209.200.152.198
ibm.com,23.9.20.64
hp.com,15.72.164.74
intel.com,139.146.68.58
xerox.com,89.193.69.176
cos.edu,2.229.114.228
alaska.edu,43.148.5.183
alaskacc.edu,112.184.110.179
npcc.edu,65.74.70.52
uaf.edu,83.95.174.197
uafs.edu,247.13.49.202
aamu.edu,11.154.227.95
athens.edu,5.236.57.242
auburn.edu,1.170.4.31
aum.edu,54.137.0.101
imo.org,169.222.103.14
unesco.org,155.156.230.242?53.97.74.255
ioc-unesco.org,36.209.170.45
gebco.org,143.234.66.97
ngdcnoaa.org,222.31.234.234
ccop.org,16.207.106.130
icsu.org,133.117.118.151
igu-net.org,10.240.121.62
geogumontreal.org,50.16.35.123
iugg.org,82.117.8.213
mathoverflow.net,166.53.122.208
stacksnippets.net,108.33.226.39
tex-talk.net,112.211.183.117
gztbxiitwm.net,186.171.245.76
mipassbohv.net,15.233.119.139
bfqpagxbvi.net,50.10.209.14
rrmbwpgxge.net,233.99.37.169
txpqqdlzfu.net,104.232.227.103
edxfjnpvdb.net,79.172.121.156
teyectwpzw.net,166.126.81.2
trivago.in,73.201.244.252
redbus.in,153.154.69.13
nptelac.in,192.32.80.32
vyjayanthi.in,202.52.183.39
guna.in,27.215.60.35
criccbuzz.in,228.35.104.107
espinfo.in,29.248.113.196
sonyliv.in,6.29.171.255
primevedio.in,37.184.196.124
covid.in,211.132.237.224
